root,run,relative_path,name,extension,bytes,sha256,modified,readable,mentions_movielens,mentions_amazon,mentions_lastfm,mentions_als,mentions_itemknn,mentions_pop,mentions_ndcg,mentions_precision,mentions_download,mentions_synthetic,seed_expressions
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01/checkpoint/0bdcbe7d86d94f278c0ec94a88df76b3/code.py,code.py,.py,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,2026-07-18T00:34:40,True,False,False,False,False,False,False,False,False,False,False,
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01/checkpoint/0fb036b370fd4ef4a3586fcdab36acc2/code.py,code.py,.py,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,2026-07-18T00:21:19,True,False,False,False,False,False,False,False,False,False,False,
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01/checkpoint/18fdfe8b4fbf41338e368412cfe7a4b0/code.py,code.py,.py,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,2026-07-18T00:47:29,True,False,False,False,False,False,False,False,False,False,False,
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01/checkpoint/1f4746aabdd14e4fb04d1d7a45f71401/code.py,code.py,.py,5970,368d3ecbff1bd1470907c77bc453eca6203662ea03cfd6652a3ccd69bcfdb384,2026-07-18T00:52:52,True,True,False,False,True,False,False,False,True,False,True,"0, 1, 2, 3, 4 || None || SEEDS"
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01/checkpoint/280cf3b486f3422788d640f6322877ec/code.py,code.py,.py,3381,9e72cd6af15de2b19feba94addac0718201aecea03bd793aa3f378421e64fcff,2026-07-18T00:28:52,True,True,False,False,True,False,False,True,False,False,True,"42, 123, 999, 2024, 7 || Pipe([MakeImplicit(threshold=0.5), CorePruning(core=5) || RecSysDataSet.use_dataloader(DataSet.MovieLens100K) || cast(Any, holdout.process(ds_seed)) || s) || {s}: nDCG@10 = {ndcg10}"")"
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01/checkpoint/7a6a2daface94967945ce756e530adf1/code.py,code.py,.py,3750,5e310b36201a86460bb88f53a3316656062d15d845d7bbcd91a6635fdda89ef3,2026-07-18T00:59:40,True,True,False,False,True,False,False,True,True,False,False,"0, 1, 2, 3, 4 || [ || {s}: Precision@10 = {precision10}"")"
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01/checkpoint/c6fc99bea3ae4f79a0dac369c4ecf600/code.py,code.py,.py,6623,310227885f9c5960b14cd13f89cc01a45836e2bc0decf084c89b6ba6bbad6738,2026-07-18T00:41:44,True,True,False,False,True,False,False,False,True,False,True,"{mean_p:.6f}"""
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01/checkpoint/c6fc99bea3ae4f79a0dac369c4ecf600_iteration1/code.py,code.py,.py,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,2026-07-18T01:17:14,True,False,False,False,False,False,False,False,False,False,False,
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01/checkpoint/c6fc99bea3ae4f79a0dac369c4ecf600_iteration2/code.py,code.py,.py,5812,503f3a28eac5e41f4d5902a7a2db577093d777b85d11a6ad839114b8c36854b1,2026-07-18T01:17:14,True,True,True,True,True,True,True,True,True,False,False,"12345, 23456, 34567, 45678, 56789"
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01/checkpoint/c6fc99bea3ae4f79a0dac369c4ecf600_seed/code.py,code.py,.py,6623,310227885f9c5960b14cd13f89cc01a45836e2bc0decf084c89b6ba6bbad6738,2026-07-18T01:08:28,True,True,False,False,True,False,False,False,True,False,True,"{mean_p:.6f}"""
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02/checkpoint/015193c407cd486e89fd464e8c07426d/code.py,code.py,.py,3578,90d5cf6f0426a9fec2516e718a9ef4ec92e95c39fe2198c7bb2b8697953240b2,2026-07-18T07:14:23,True,True,False,False,True,False,False,True,False,False,False,"0, 1, 2, 3, 4 || {seed}, NDCG@10={ndcg}"")"
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02/checkpoint/2ae4e77c87e941deac46b019b0f198b7/code.py,code.py,.py,3759,54697ee5b536ee9665092740fe35e0cc3d2d9553c217d597217b8f413fab475a,2026-07-18T07:28:52,True,True,False,False,True,False,False,False,True,False,False,"seed, train_prop=0.8)"
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02/checkpoint/3c61634bc82443cbb27067abc87822a6/code.py,code.py,.py,3502,89fb3e72c404badc02a99966a6ecf853b1e164642604eb41b5b84985ad5b4847,2026-07-18T07:25:28,True,True,False,False,True,False,False,False,True,False,False,"0, 1, 2, 3, 4 || {seed}, Precision@5={prec}"")"
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02/checkpoint/3c61634bc82443cbb27067abc87822a6_iteration1/code.py,code.py,.py,1498,0419e6a1e4abda0a3641c60eb470848a446625c26cd8a517347b119dbbb84dbf,2026-07-18T08:02:42,True,False,False,False,False,False,False,False,False,False,False,
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02/checkpoint/3c61634bc82443cbb27067abc87822a6_iteration2/code.py,code.py,.py,14640,2cc1ae7b1c6f925706e4c7402aa1c6869440b918633242274643d419d6937ba3,2026-07-18T08:02:42,True,True,True,True,True,True,True,True,True,False,True,"1001, 2002, 3003, 4004, 5005 || rec.get('seed') || seed, || {seed: {} for seed in SEEDS} || {seed} | alg={alg} (config {config_count}/{total_configs})"")"
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02/checkpoint/3c61634bc82443cbb27067abc87822a6_seed/code.py,code.py,.py,3502,89fb3e72c404badc02a99966a6ecf853b1e164642604eb41b5b84985ad5b4847,2026-07-18T07:53:39,True,True,False,False,True,False,False,False,True,False,False,"0, 1, 2, 3, 4 || {seed}, Precision@5={prec}"")"
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02/checkpoint/6e70678e1e2941428904dcc5520f6672/code.py,code.py,.py,3487,ccf90ff8b98d86e74142f44d106f41cfa8ab281390961c0fa7a6a832e0798bf8,2026-07-18T07:43:33,True,True,False,False,True,False,False,False,True,False,False,"0, 1, 2, 3, 4 || {seed}, Precision@5={prec}"")"
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02/checkpoint/99081e754efa4dbfa3cff1d2b478301d/code.py,code.py,.py,3453,59e8102661e9086c2c5941249ad817d1240d2e65dc90597eae757e563d637984,2026-07-18T07:48:16,True,True,False,False,True,False,False,False,True,False,False,"0, 1, 2, 3, 4 || {seed}, Precision@10={prec}"")"
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02/checkpoint/ab5819ca523f4f3184982dd42ee3797e/code.py,code.py,.py,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,2026-07-18T07:38:54,True,False,False,False,False,False,False,False,False,False,False,
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02/checkpoint/c041136165c04c649e8aee5729792671/code.py,code.py,.py,2,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,2026-07-18T07:20:17,True,False,False,False,False,False,False,False,False,False,False,
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R03,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R03/checkpoint/0774eb2af6124832aaea2b6811becb64/code.py,code.py,.py,3895,ec320edaf49162713fdb4dbe3d0e51bd30ff758c0c73830cd6cca96132f38047,2026-07-18T10:30:59,True,True,False,False,True,False,False,False,True,False,False,"0, 1, 2, 3, 4"
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R03,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R03/checkpoint/3088b22eb493465a82ae75afba943cc3/code.py,code.py,.py,4776,95e57c3e54b8de4674c03a432dd8d04d9fc15ef1c4c6d613ff4ef4835d7811f9,2026-07-18T10:37:13,True,True,False,False,True,False,False,False,True,False,False,"0, 1, 2, 3, 4"
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R03,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R03/checkpoint/471cd3e59f7e4ff38fc386479e829987/code.py,code.py,.py,5194,e5b73c63bfa5db96ce374ae3ee2fdaaff2b2c1b89ba3329bca3ba24d6ec70b8a,2026-07-18T10:20:28,True,True,False,False,True,False,False,False,True,False,True,"0, 1, 2, 3, 4"
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R03,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R03/checkpoint/471cd3e59f7e4ff38fc386479e829987_iteration1/code.py,code.py,.py,101,ebfe7c9e4ecf7931956a18e4f975da5a1df6ad0fdd26d8c40dd1e16818d7bd2f,2026-07-18T10:55:04,True,False,False,False,False,False,False,False,False,False,False,
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R03,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R03/checkpoint/471cd3e59f7e4ff38fc386479e829987_iteration2/code.py,code.py,.py,7589,393180ef5f1ead1a511174bf459fe5b926984164671f256f020cb29e9c57f791,2026-07-18T10:55:04,True,True,True,True,True,True,True,True,True,False,True,"12345, 23456, 34567, 45678, 56789 || s)"
study_runs,PILOT_BAD_FILENAME_V100_P0_NANO_I05_R03,study_runs/PILOT_BAD_FILENAME_V100_P0_NANO_I05_R03/checkpoint/471cd3e59f7e4ff38fc386479e829987_seed/code.py,code.py,.py,5217,3570f6c84165f0ed6e597943f205b2f0bfbe92b6120e5bfa2a88273aee385573,2026-07-18T10:48:32,True,True,False,False,True,False,False,False,True,False,True,"0, 1, 2, 3, 4"
