run,model,max_iterations,files,bytes,api_calls,cost_usd,elapsed_minutes_from_cost_log,has_console_log,has_summary,prototype_requirements,final_requirements,best_reviewer_score_pct,satisfactory_true_count,execution_success_count,execution_failure_count,traceback_count,program_crash_count,generated_code_files,prediction_files,results_json_files,csv_files,candidate_result_csv_files,prompt_sha256,ended_with_final_response,found_no_satisfactory_prototype,refinement_without_satisfaction
PILOT_BAD_FILENAME_V100_P0_NANO_I05_R01,gpt-5-nano,5,78,1883040,180,0.223814,71.4,True,True,11,23,63.63636363636363,0,6,4,2,8,10,0,0,1,0,dc790c0f84813ae9f582a14783c06db3ee59faaa98d800c6bf831f5ad0d041ab,True,True,True
PILOT_BAD_FILENAME_V100_P0_NANO_I05_R02,gpt-5-nano,5,112,171296558,162,0.207942,59.77,True,True,12,16,33.33333333333333,0,5,5,10,10,10,5,1,1,0,dc790c0f84813ae9f582a14783c06db3ee59faaa98d800c6bf831f5ad0d041ab,True,True,True
PILOT_BAD_FILENAME_V100_P0_NANO_I05_R03,gpt-5-nano,5,93,82853506,164,0.219299,58.57,True,True,12,14,75.0,0,8,2,6,4,10,2,2,5,4,dc790c0f84813ae9f582a14783c06db3ee59faaa98d800c6bf831f5ad0d041ab,True,True,True
SMOKE_V100_P0_I01,gpt-5.4-mini,1,140,14998266388,91,0.541492,94.28,True,True,10,14,50.0,0,2,7,23,14,9,17,5,16,15,dc790c0f84813ae9f582a14783c06db3ee59faaa98d800c6bf831f5ad0d041ab,True,True,True
V100_P0_GPT54_I05_R01,gpt-5.4,5,262,1183683834,143,3.621667,54.58,True,True,7,22,71.42857142857143,0,4,6,6,12,10,30,20,32,31,dc790c0f84813ae9f582a14783c06db3ee59faaa98d800c6bf831f5ad0d041ab,True,True,True
V100_P0_GPT54_I05_R02,gpt-5.4,5,87,83105841,165,4.108775,23.75,True,True,10,22,60.0,0,0,10,16,20,10,2,2,1,0,dc790c0f84813ae9f582a14783c06db3ee59faaa98d800c6bf831f5ad0d041ab,True,True,True
V100_P0_GPT54_I05_R03,gpt-5.4,5,5,3162,0,0.0,,True,False,,,,0,0,0,0,0,0,0,0,1,0,dc790c0f84813ae9f582a14783c06db3ee59faaa98d800c6bf831f5ad0d041ab,False,False,False
V100_P0_MINI_I05_R01,gpt-5.4-mini,5,114,323994120,155,0.837538,28.87,True,True,11,17,72.72727272727273,0,4,6,14,12,10,8,5,1,0,dc790c0f84813ae9f582a14783c06db3ee59faaa98d800c6bf831f5ad0d041ab,True,True,True
V100_P0_MINI_I05_R02,gpt-5.4-mini,5,123,678508340,126,0.679412,36.53,True,True,8,14,62.5,0,2,8,14,16,10,17,3,3,2,dc790c0f84813ae9f582a14783c06db3ee59faaa98d800c6bf831f5ad0d041ab,True,True,True
V100_P0_MINI_I05_R03,gpt-5.4-mini,5,198,30720542748,100,0.599333,50.83,True,False,9,15,77.77777777777779,0,6,2,4,4,8,52,8,7,1,dc790c0f84813ae9f582a14783c06db3ee59faaa98d800c6bf831f5ad0d041ab,False,True,False
V100_P0_MINI_I05_R04,gpt-5.4-mini,5,167,1051923477,144,0.866177,40.55,True,True,11,12,63.63636363636363,0,5,5,10,10,10,26,6,14,10,dc790c0f84813ae9f582a14783c06db3ee59faaa98d800c6bf831f5ad0d041ab,True,True,True
V100_P0_MINI_I05_R05,gpt-5.4-mini,5,108,198258177,130,0.79498,21.23,True,True,8,15,62.5,0,2,8,18,16,10,5,5,1,0,dc790c0f84813ae9f582a14783c06db3ee59faaa98d800c6bf831f5ad0d041ab,True,True,True
V100_P0_NANO_I05_R01,gpt-5-nano,5,107,243363691,165,0.233359,67.02,True,True,14,12,50.0,0,5,5,10,10,10,6,4,2,1,dc790c0f84813ae9f582a14783c06db3ee59faaa98d800c6bf831f5ad0d041ab,True,True,True
V100_P0_NANO_I05_R02,gpt-5-nano,5,75,1707343,151,0.193883,56.77,True,True,10,17,40.0,0,9,1,2,2,10,0,0,2,1,dc790c0f84813ae9f582a14783c06db3ee59faaa98d800c6bf831f5ad0d041ab,True,True,True
V100_P0_NANO_I05_R03,gpt-5-nano,5,209,282898866,170,0.235565,69.72,True,True,12,17,58.333333333333336,0,3,7,10,14,10,0,0,136,45,dc790c0f84813ae9f582a14783c06db3ee59faaa98d800c6bf831f5ad0d041ab,True,True,True
