condition,root,run,relative_path,name,extension,bytes,sha256,modified,readable,mentions_movielens,mentions_amazon,mentions_lastfm,mentions_als,mentions_itemknn,mentions_pop,mentions_ndcg,mentions_precision,mentions_download,mentions_synthetic,seed_expressions
P2/Mini,study_runs,V100_P2_MINI_I05_R01,study_runs/V100_P2_MINI_I05_R01/checkpoint/0b040fb6a3464b07bd0c5471b3c9be53/code.py,code.py,.py,2649,6db4a187514b6dd8760077a74ca49b624d257b6c4f414eb426e34f7c862548f7,2026-07-24T07:22:15,True,True,False,False,True,False,False,True,True,False,True,7
P2/Mini,study_runs,V100_P2_MINI_I05_R01,study_runs/V100_P2_MINI_I05_R01/checkpoint/7a0db98cffcf42d88dea038f01f33b57/code.py,code.py,.py,8023,ee71eb81dbbf99d7775843d293b723cc43bb27c51b0cd91e3c3bc8d9a24e142c,2026-07-24T07:34:43,True,True,False,False,True,False,False,True,False,False,False,"7, 13, 29, 42, 87 || {seed}: {exc}') || {seed}; total_result_rows={len(combined)}')"
P2/Mini,study_runs,V100_P2_MINI_I05_R01,study_runs/V100_P2_MINI_I05_R01/checkpoint/971107bfa8ab4a869f5f22a4e8daf389/code.py,code.py,.py,6393,ebd60c7c36554b13026d4e1006a937e2964e6aa1c58656c0bd75dfdbb0fc57e2,2026-07-24T07:20:58,True,True,False,False,True,False,False,True,False,False,False,42 || {s}: {e}') || {s}; rows={len(merged)}')
P2/Mini,study_runs,V100_P2_MINI_I05_R01,study_runs/V100_P2_MINI_I05_R01/checkpoint/a1bcca8153734209b941df4b0639e5e4/code.py,code.py,.py,11406,d713171c27d8b9be63503eb0ad2b2fc6b46c787df2cb2137f1371344294a8d22,2026-07-24T07:42:57,True,True,False,False,True,False,False,True,True,False,False,"7, 13, 29, 42, 87"
P2/Mini,study_runs,V100_P2_MINI_I05_R01,study_runs/V100_P2_MINI_I05_R01/checkpoint/a1bcca8153734209b941df4b0639e5e4_iteration1/code.py,code.py,.py,11220,79cfaf87aafa938e301883d85c58263f13b6fd10a45d1379458b9317784627cb,2026-07-24T07:47:37,True,True,True,True,True,True,True,True,True,False,False,"7, 13, 29, 42, 87"
P2/Mini,study_runs,V100_P2_MINI_I05_R01,study_runs/V100_P2_MINI_I05_R01/checkpoint/a1bcca8153734209b941df4b0639e5e4_iteration2/code.py,code.py,.py,12422,c019452e9483963cb23b41ab93bdc77d3fb4a34841a3dd45d6b602671c23fbb0,2026-07-24T07:47:37,True,True,True,True,True,True,True,True,True,False,False,"7, 13, 29, 42, 87"
P2/Mini,study_runs,V100_P2_MINI_I05_R01,study_runs/V100_P2_MINI_I05_R01/checkpoint/a1bcca8153734209b941df4b0639e5e4_seed/code.py,code.py,.py,11406,d713171c27d8b9be63503eb0ad2b2fc6b46c787df2cb2137f1371344294a8d22,2026-07-24T07:45:21,True,True,False,False,True,False,False,True,True,False,False,"7, 13, 29, 42, 87"
P2/Mini,study_runs,V100_P2_MINI_I05_R01,study_runs/V100_P2_MINI_I05_R01/checkpoint/c05e2c38ece84872a03809ae1bdf2135/code.py,code.py,.py,3338,d7f370e49912a4e3a4a3e03fcd2d0e82a1933fcbb7bd9d307d7d9072f47cbe0d,2026-07-24T07:24:23,True,True,False,False,True,False,False,True,True,False,False,7
P2/Mini,study_runs,V100_P2_MINI_I05_R01,study_runs/V100_P2_MINI_I05_R01/checkpoint/e785dd986fa94144ba6e5122df1bb2c9/code.py,code.py,.py,3498,7f4d36b082b5c804ecbeaa111289900de56fd109cfc7b371af2704957804efd3,2026-07-24T07:23:23,True,True,False,False,True,False,False,True,True,False,True,7
P2/Mini,study_runs,V100_P2_MINI_I05_R01,study_runs/V100_P2_MINI_I05_R01/checkpoint/f4c83afb3a7f4cafae2f26aea4662886/code.py,code.py,.py,8427,d44067fcb5fd87b537018477a1a00a36b51e362a9ed544e993f3f4e64f71eb0c,2026-07-24T07:25:31,True,True,False,False,True,False,False,True,True,False,False,"7 || seed, shuffle=True)"
P2/Mini,study_runs,V100_P2_MINI_I05_R02,study_runs/V100_P2_MINI_I05_R02/checkpoint/25501a6e1c4f4ddaae10303962299a23/code.py,code.py,.py,7463,a5f88bc6c3446d042372bc4e753b031f1b6ccab3e977fdb299a32503ef1d986a,2026-07-24T07:25:52,True,True,False,False,True,False,False,True,True,False,False,"7, 13, 29, 42, 87"
P2/Mini,study_runs,V100_P2_MINI_I05_R02,study_runs/V100_P2_MINI_I05_R02/checkpoint/39d1d8b535e34bf79b99eaa203fc9588/code.py,code.py,.py,9114,79ac2ff8a5c4ece39fed58d23ad6b64dc2e3de07834b097deff0b1890330e1a1,2026-07-24T07:30:07,True,True,False,False,True,False,False,True,True,False,False,7
P2/Mini,study_runs,V100_P2_MINI_I05_R02,study_runs/V100_P2_MINI_I05_R02/checkpoint/443c4e71b2bf42d6908fa425d51e3fd6/code.py,code.py,.py,5021,e1c4dca519b8b3ec38211069d1777b8c78015038a931b389ca38d91f05ad7c7a,2026-07-24T07:35:07,True,True,False,False,True,False,False,True,True,False,False,7
P2/Mini,study_runs,V100_P2_MINI_I05_R02,study_runs/V100_P2_MINI_I05_R02/checkpoint/443c4e71b2bf42d6908fa425d51e3fd6_iteration1/code.py,code.py,.py,8718,fcebd3f01f04ca15bfc4ae14f43552437d148d3683538ff3b3bee2638d80c58e,2026-07-24T07:58:03,True,True,True,True,True,True,True,True,True,False,False,"7, 13, 29, 42, 87"
P2/Mini,study_runs,V100_P2_MINI_I05_R02,study_runs/V100_P2_MINI_I05_R02/checkpoint/443c4e71b2bf42d6908fa425d51e3fd6_iteration2/code.py,code.py,.py,8063,27f82823aa4112da5650e96c888af9f0c1f2659f4e8d74c02c0022b1e07efe47,2026-07-24T07:58:03,True,True,False,False,True,True,True,True,True,False,False,"7, 13, 29, 42, 87"
P2/Mini,study_runs,V100_P2_MINI_I05_R02,study_runs/V100_P2_MINI_I05_R02/checkpoint/443c4e71b2bf42d6908fa425d51e3fd6_seed/code.py,code.py,.py,5021,e1c4dca519b8b3ec38211069d1777b8c78015038a931b389ca38d91f05ad7c7a,2026-07-24T07:37:33,True,True,False,False,True,False,False,True,True,False,False,7
P2/Mini,study_runs,V100_P2_MINI_I05_R02,study_runs/V100_P2_MINI_I05_R02/checkpoint/c7024b9c89d04bd0b0d34dfd238b9f65/code.py,code.py,.py,7447,43c816b6fa4325f0a160e7d5c5c7bebe0610d7617f4ffe4a6555a94025a42d2e,2026-07-24T07:28:51,True,True,False,False,True,False,False,True,True,False,False,7
P2/Mini,study_runs,V100_P2_MINI_I05_R02,study_runs/V100_P2_MINI_I05_R02/checkpoint/d396f5f998024b939d73657e08e8ab1f/code.py,code.py,.py,2897,10b07f5b0ea5afda1b9b9e41085902ca3dd460a224849204522b893fd2490c56,2026-07-24T07:24:25,True,True,False,False,True,False,False,True,False,False,False,"7, 13, 29, 42, 87 || seeds[0"
P2/Mini,study_runs,V100_P2_MINI_I05_R02,study_runs/V100_P2_MINI_I05_R02/checkpoint/d939a3795799414faaf5cb48d9966b18/code.py,code.py,.py,4613,99fe24d0b10f3aa4ec3f540768ebabcb51cd1e3ac1a59dc3d3c62e14b33df781,2026-07-24T07:32:29,True,True,False,False,True,False,False,True,True,False,False,"7 || r.get('seed', r.get('random_state', np.nan))"
P2/Mini,study_runs,V100_P2_MINI_I05_R02,study_runs/V100_P2_MINI_I05_R02/checkpoint/db4fa85f70d2426992901e276f1edb01/code.py,code.py,.py,4832,b77e51968aa99a31bbdeaf5ab03194b5c29983d388be56dbd01c8ba5156ab04b,2026-07-24T07:27:44,True,True,False,False,True,False,False,True,False,True,False,7
P2/Mini,study_runs,V100_P2_MINI_I05_R03,study_runs/V100_P2_MINI_I05_R03/checkpoint/0f65d6e0ff044a9a8a56233fb5c61cf7/code.py,code.py,.py,4051,af48aa6d8d547391fe3caf5512a9d700f1f31551d43c49c682ef790fa57968ba,2026-07-24T07:59:22,True,True,False,False,False,True,False,True,False,False,False,7
P2/Mini,study_runs,V100_P2_MINI_I05_R03,study_runs/V100_P2_MINI_I05_R03/checkpoint/118dc76560b3433fbe65bd463c78c82a/code.py,code.py,.py,6463,abb0c98e4299cd733993b739b65772aea18a916b630d6b0af6f40c44fdda0457,2026-07-24T08:05:03,True,True,False,False,True,False,False,True,True,True,False,"7, 13, 29, 42, 87"
P2/Mini,study_runs,V100_P2_MINI_I05_R03,study_runs/V100_P2_MINI_I05_R03/checkpoint/4e8de63c19d24f489ce960292edccdf4/code.py,code.py,.py,7272,62e162253b74d65a2eef0e97f66cd92d0a22ae91ce0eea2a5eacb1f8a823359b,2026-07-24T08:06:21,True,True,False,False,True,False,False,True,True,False,False,"7, 13, 29, 42, 87"
P2/Mini,study_runs,V100_P2_MINI_I05_R03,study_runs/V100_P2_MINI_I05_R03/checkpoint/bb6016818975478f843b11195c1d1b9b/code.py,code.py,.py,4090,971a59655c437ca995bbd3e59c4edd53728ebb7735241ef30a47af889aaa3733,2026-07-24T08:01:00,True,True,False,False,True,False,False,True,True,False,True,42 || get_random_state()).index
P2/Mini,study_runs,V100_P2_MINI_I05_R03,study_runs/V100_P2_MINI_I05_R03/checkpoint/bb6016818975478f843b11195c1d1b9b_iteration1/code.py,code.py,.py,11782,2eb9c7a892c8beab123bb31db9f27ac1448c3f62d78d1db24d1afe7f7344a72c,2026-07-24T08:15:45,True,True,True,True,True,True,True,True,True,False,False,"7, 13, 29, 42, 87 || rng.randint(0, 2**31 - 1)).index"
P2/Mini,study_runs,V100_P2_MINI_I05_R03,study_runs/V100_P2_MINI_I05_R03/checkpoint/bb6016818975478f843b11195c1d1b9b_iteration2/code.py,code.py,.py,12646,ce4e5c8cac6b30d2d70363e6f29b3c88ad9699e2b4d8c07fae7da93173612703,2026-07-24T08:15:45,True,True,True,True,True,True,True,True,True,False,False,"7, 13, 29, 42, 87"
P2/Mini,study_runs,V100_P2_MINI_I05_R03,study_runs/V100_P2_MINI_I05_R03/checkpoint/bb6016818975478f843b11195c1d1b9b_seed/code.py,code.py,.py,4090,971a59655c437ca995bbd3e59c4edd53728ebb7735241ef30a47af889aaa3733,2026-07-24T08:12:27,True,True,False,False,True,False,False,True,True,False,True,42 || get_random_state()).index
P2/Mini,study_runs,V100_P2_MINI_I05_R03,study_runs/V100_P2_MINI_I05_R03/checkpoint/bfa7663983404f24937493600c50592b/code.py,code.py,.py,5162,117eb3136215b1ee66270bdc1b79d15d29c0b80ab0d50cddd612059788076d92,2026-07-24T08:10:03,True,True,False,False,True,False,False,True,True,False,False,42
P2/Mini,study_runs,V100_P2_MINI_I05_R03,study_runs/V100_P2_MINI_I05_R03/checkpoint/d120825e03b64063ac861973b9446c62/code.py,code.py,.py,3321,3fe773d7fb3b168c91a4184b570600eb9e720768cd54b24093be6a3fa81fddef,2026-07-24T07:56:44,True,True,False,False,True,False,False,True,False,False,True,42
P2/Mini,study_runs,V100_P2_MINI_I05_R03,study_runs/V100_P2_MINI_I05_R03/checkpoint/e0c1a41b238744329dd034fc54984f44/code.py,code.py,.py,7643,26337bc3ba0817233e146e48e55aadb0c53d8644c4f5e37349d0ea5c84fbb5d4,2026-07-24T08:02:54,True,True,False,False,True,False,False,True,True,False,False,7
P2/Mini,study_runs,V100_P2_MINI_I05_R04,study_runs/V100_P2_MINI_I05_R04/checkpoint/047f8fbab57744baa1ff88133be15718/code.py,code.py,.py,6196,a3485c4aead42e937ef23a46f3484c859e27d10d9bd340b484489bb8a5b632f6,2026-07-24T08:12:21,True,True,False,False,True,False,False,True,True,False,False,7
P2/Mini,study_runs,V100_P2_MINI_I05_R04,study_runs/V100_P2_MINI_I05_R04/checkpoint/0a3dd6188e4845cf99ed89465036aa3d/code.py,code.py,.py,7273,d5fc4b66f27f83a0d149929bbd25463b4dcf4a1c25d54725163b12c5e90278e8,2026-07-24T08:10:06,True,True,False,False,True,False,False,True,True,True,False,"7, 13, 29, 42, 87"
P2/Mini,study_runs,V100_P2_MINI_I05_R04,study_runs/V100_P2_MINI_I05_R04/checkpoint/2dc65852f2f2454f9b7b0eda7918f932/code.py,code.py,.py,5978,aec2f5e66949f3aefd61a94a1eeab1bec30db771dc003947e489f07720a2106e,2026-07-24T08:15:53,True,True,False,False,True,True,False,True,True,False,False,
P2/Mini,study_runs,V100_P2_MINI_I05_R04,study_runs/V100_P2_MINI_I05_R04/checkpoint/36f6519c404c434d8abcf236b5052955/code.py,code.py,.py,8440,88e503a9d9b4524c1775241c29c07d64cf3bb1bbf3b17756d8a7ff3a74df5afd,2026-07-24T08:06:11,True,True,False,False,True,False,False,True,True,True,False,"7, 13, 29, 42, 87"
