condition,root,run,relative_path,name,extension,bytes,sha256,modified,readable,rows,columns,parse_error
P2/Mini,study_runs,V100_P2_MINI_I05_R01,study_runs/V100_P2_MINI_I05_R01/costs_log.csv,costs_log.csv,.csv,13368,6b4a343ff442accf88919dcdf3663897f4b4e00614079a3933c0ad1a20bad5aa,2026-07-24T07:47:48,True,144,Position|Timestamp|Model|Prompt Tokens|Prompt USD|Completion Tokens|Completion USD|Total Tokens|Total USD,
P2/Mini,study_runs,V100_P2_MINI_I05_R02,study_runs/V100_P2_MINI_I05_R02/checkpoint/443c4e71b2bf42d6908fa425d51e3fd6/generated/prototype_results.csv,prototype_results.csv,.csv,95,e99ec4e7ef54d3585edcc0794b9c85fd6dce4eaa137585eee758fedb3fc7008d,2026-07-24T07:32:03,True,1,algorithm|fold|name|k|value,
P2/Mini,study_runs,V100_P2_MINI_I05_R02,study_runs/V100_P2_MINI_I05_R02/checkpoint/443c4e71b2bf42d6908fa425d51e3fd6_iteration2/generated/final_results.csv,final_results.csv,.csv,21442,849fbbde56f771a7abbadbe7c47f39729d38d5c82e4916c8fd4259efa17c6c09,2026-07-24T07:57:16,True,270,dataset|algorithm|seed|cutoff|metric|value,
P2/Mini,study_runs,V100_P2_MINI_I05_R02,study_runs/V100_P2_MINI_I05_R02/checkpoint/443c4e71b2bf42d6908fa425d51e3fd6_seed/generated/prototype_results.csv,prototype_results.csv,.csv,94,bbe0bf49aa7a99be08f841f367067dbad4bf13547932a8d03cee335ca26f70fe,2026-07-24T07:34:35,True,1,algorithm|fold|name|k|value,
P2/Mini,study_runs,V100_P2_MINI_I05_R02,study_runs/V100_P2_MINI_I05_R02/costs_log.csv,costs_log.csv,.csv,16266,4fc3ae0081c89f908931794afa8f0ca1203a464c2ad486342065d375cc9aa4b7,2026-07-24T07:58:14,True,179,Position|Timestamp|Model|Prompt Tokens|Prompt USD|Completion Tokens|Completion USD|Total Tokens|Total USD,
P2/Mini,study_runs,V100_P2_MINI_I05_R03,study_runs/V100_P2_MINI_I05_R03/checkpoint/bb6016818975478f843b11195c1d1b9b/generated/prototype_ml100k_als/prototype_results.csv,prototype_results.csv,.csv,29,23e81e95a9d920a4494d7cc2e8ac335e7d6ab24c79f3710f096e1e0b77cc7f63,2026-07-24T07:59:02,True,1,note,
P2/Mini,study_runs,V100_P2_MINI_I05_R03,study_runs/V100_P2_MINI_I05_R03/checkpoint/bb6016818975478f843b11195c1d1b9b_seed/generated/prototype_ml100k_als/prototype_results.csv,prototype_results.csv,.csv,29,23e81e95a9d920a4494d7cc2e8ac335e7d6ab24c79f3710f096e1e0b77cc7f63,2026-07-24T08:09:08,True,1,note,
P2/Mini,study_runs,V100_P2_MINI_I05_R03,study_runs/V100_P2_MINI_I05_R03/costs_log.csv,costs_log.csv,.csv,15718,0c8ebbe902132ccd1df2c4a5ebadfa48766f1098d4b915c1acb73172cf36c777,2026-07-24T08:15:52,True,170,Position|Timestamp|Model|Prompt Tokens|Prompt USD|Completion Tokens|Completion USD|Total Tokens|Total USD,
P2/Mini,study_runs,V100_P2_MINI_I05_R04,study_runs/V100_P2_MINI_I05_R04/checkpoint/a7da6e331d104fd5a77a095434658fdf_iteration2/generated/MovieLens100K_canonical.csv,MovieLens100K_canonical.csv,.csv,1259020,b6adede7516c782eed6643148a39921b56c33b9dc6ed4815f8f309ed91debf62,2026-07-24T08:20:49,True,55375,user|item|rating|timestamp,
P2/Mini,study_runs,V100_P2_MINI_I05_R04,study_runs/V100_P2_MINI_I05_R04/costs_log.csv,costs_log.csv,.csv,15181,a448e22be811374480b0715c7ad041503c683c2bf10807b4cb62e4d6a377286a,2026-07-24T08:21:31,True,165,Position|Timestamp|Model|Prompt Tokens|Prompt USD|Completion Tokens|Completion USD|Total Tokens|Total USD,
P2/Mini,study_runs,V100_P2_MINI_I05_R05,study_runs/V100_P2_MINI_I05_R05/checkpoint/121428c6e9264a5195dd3e538a040af7/generated/seed_7/test.csv,test.csv,.csv,225020,603c5ea9069f072f72fba8971ae06162fb02bdc7979d8a3408122d90c599d03c,2026-07-24T08:20:27,True,10883,user|item|rating|timestamp,
P2/Mini,study_runs,V100_P2_MINI_I05_R05,study_runs/V100_P2_MINI_I05_R05/checkpoint/121428c6e9264a5195dd3e538a040af7/generated/seed_7/train.csv,train.csv,.csv,899526,f45e7de093aa9eb9d91fe96c1876066301bf8fe6b13c32a885a3e0aea2fbd461,2026-07-24T08:20:27,True,43530,user|item|rating|timestamp,
P2/Mini,study_runs,V100_P2_MINI_I05_R05,study_runs/V100_P2_MINI_I05_R05/costs_log.csv,costs_log.csv,.csv,15213,de23f495f159b2e9a31ff4e833cb2e0497c3b5ef59535f5196e011b5c5c4fd88,2026-07-24T08:37:03,True,167,Position|Timestamp|Model|Prompt Tokens|Prompt USD|Completion Tokens|Completion USD|Total Tokens|Total USD,
P3/Mini,study_runs,V100_P3_MINI_I05_R01,study_runs/V100_P3_MINI_I05_R01/checkpoint/42ace93605da4f7d8c3adf16376b2dfa/generated/MovieLens100K_ALS_seed_7/test.csv,test.csv,.csv,225460,6d988ab057a153c802de292498994a3007f1407844d3ff9998a6985ed8896c07,2026-07-24T08:48:38,True,10877,user|item|rating|timestamp,
P3/Mini,study_runs,V100_P3_MINI_I05_R01,study_runs/V100_P3_MINI_I05_R01/checkpoint/42ace93605da4f7d8c3adf16376b2dfa/generated/MovieLens100K_ALS_seed_7/train.csv,train.csv,.csv,902130,efaaa6e83a448de3573b398b67a0d93797a14722ed3835a0254f39cc36771e6a,2026-07-24T08:48:38,True,43536,user|item|rating|timestamp,
P3/Mini,study_runs,V100_P3_MINI_I05_R01,study_runs/V100_P3_MINI_I05_R01/checkpoint/728d2c10356b4ff4a3fe013781d33952/generated/MovieLens100K_seed_7/test.csv,test.csv,.csv,225460,6d988ab057a153c802de292498994a3007f1407844d3ff9998a6985ed8896c07,2026-07-24T08:47:31,True,10877,user|item|rating|timestamp,
