condition,run,nodes_total,nodes_with_metrics,best_native_coverage,best_custom_coverage,max_coherent_coverage,max_coherent_pct,datasets_in_best,algorithms_in_best,seeds_in_best
P2/Mini,V100_P2_MINI_I05_R01,10,2,10,0,10,3.7,1,1,5
P2/Mini,V100_P2_MINI_I05_R02,10,3,45,45,45,16.67,1,3,5
P2/Mini,V100_P2_MINI_I05_R03,10,2,2,0,2,0.74,1,1,1
P2/Mini,V100_P2_MINI_I05_R04,10,1,2,0,2,0.74,1,1,1
P2/Mini,V100_P2_MINI_I05_R05,10,0,0,0,0,0.0,0,0,0
P3/Mini,V100_P3_MINI_I05_R01,10,0,0,0,0,0.0,0,0,0
P3/Mini,V100_P3_MINI_I05_R02,10,1,0,90,90,33.33,1,3,5
P3/Mini,V100_P3_MINI_I05_R03,10,2,0,30,30,11.11,1,1,5
P3/Mini,V100_P3_MINI_I05_R04,10,1,0,30,30,11.11,1,1,5
P3/Mini,V100_P3_MINI_I05_R05,10,1,0,30,30,11.11,1,1,5
