condition,run,model,max_iterations,files,bytes,api_calls,cost_usd,elapsed_minutes_from_cost_log,has_console_log,has_summary,prototype_requirements,final_requirements,best_reviewer_score_pct,satisfactory_true_count,execution_success_count,execution_failure_count,traceback_count,program_crash_count,generated_code_files,prediction_files,results_json_files,csv_files,candidate_result_csv_files,prompt_sha256,ended_with_final_response,found_no_satisfactory_prototype,refinement_without_satisfaction
P2/Mini,V100_P2_MINI_I05_R01,gpt-5.4-mini,5,126,406416013,143,1.018599,30.7,True,True,10,14,20.0,0,2,8,14,16,10,10,2,1,0,de158b14873704c34fb7529e3af0e92fc11e8af82c48e4c18605f7f4fb69f7c2,True,True,True
P2/Mini,V100_P2_MINI_I05_R02,gpt-5.4-mini,5,126,683069247,178,1.094092,37.97,True,True,13,18,23.076923076923077,0,3,7,10,14,10,17,3,4,3,de158b14873704c34fb7529e3af0e92fc11e8af82c48e4c18605f7f4fb69f7c2,True,True,True
P2/Mini,V100_P2_MINI_I05_R03,gpt-5.4-mini,5,91,81604722,169,1.216451,22.52,True,True,12,17,33.33333333333333,0,2,8,16,16,10,2,2,3,2,de158b14873704c34fb7529e3af0e92fc11e8af82c48e4c18605f7f4fb69f7c2,True,True,True
P2/Mini,V100_P2_MINI_I05_R04,gpt-5.4-mini,5,81,42037245,164,1.121282,20.27,True,True,12,16,8.333333333333332,0,1,9,28,18,10,1,1,2,0,de158b14873704c34fb7529e3af0e92fc11e8af82c48e4c18605f7f4fb69f7c2,True,True,True
P2/Mini,V100_P2_MINI_I05_R05,gpt-5.4-mini,5,86,2797837,166,1.13193,19.68,True,True,12,18,25.0,0,2,8,12,16,10,0,0,3,0,de158b14873704c34fb7529e3af0e92fc11e8af82c48e4c18605f7f4fb69f7c2,True,True,True
P3/Mini,V100_P3_MINI_I05_R01,gpt-5.4-mini,5,90,3941228,137,1.17938,15.75,True,True,8,17,0.0,0,1,9,10,18,10,0,0,5,0,58a89d576dbcf4958b231024c16fc02b706ddf74985bf968a054006b3b063354,True,True,True
P3/Mini,V100_P3_MINI_I05_R02,gpt-5.4-mini,5,88,3705759,166,1.288109,18.05,True,True,11,20,27.27272727272727,0,4,6,6,12,10,0,0,5,2,58a89d576dbcf4958b231024c16fc02b706ddf74985bf968a054006b3b063354,True,True,True
P3/Mini,V100_P3_MINI_I05_R03,gpt-5.4-mini,5,92,1884722,170,1.429445,18.77,True,True,14,13,0.0,0,3,7,10,14,10,0,0,5,4,58a89d576dbcf4958b231024c16fc02b706ddf74985bf968a054006b3b063354,True,True,True
P3/Mini,V100_P3_MINI_I05_R04,gpt-5.4-mini,5,96,3046419,146,1.205867,17.88,True,True,9,17,33.33333333333333,0,3,7,8,14,10,0,0,5,2,58a89d576dbcf4958b231024c16fc02b706ddf74985bf968a054006b3b063354,True,True,True
P3/Mini,V100_P3_MINI_I05_R05,gpt-5.4-mini,5,78,1749750,184,1.237374,15.15,True,True,13,21,0.0,0,4,6,18,12,10,0,0,2,1,58a89d576dbcf4958b231024c16fc02b706ddf74985bf968a054006b3b063354,True,True,True
