Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
1,2026-07-17 21:20:15,gpt-5.4-mini,4988,0.0037410000000000004,36,0.000162,5024,0.0039030000000000002
2,2026-07-17 21:20:28,gpt-5.4-mini,5817,0.00436275,366,0.001647,6183,0.00600975
3,2026-07-17 21:20:43,gpt-5.4-mini,5649,0.00423675,285,0.0012825,5934,0.00551925
4,2026-07-17 21:21:29,gpt-5.4-mini,48778,0.036583500000000005,1935,0.0087075,50713,0.045291000000000005
5,2026-07-17 21:21:58,gpt-5.4-mini,16234,0.012175499999999999,1151,0.005179499999999999,17385,0.017355
6,2026-07-17 21:23:42,gpt-5.4-mini,6816,0.005112,216,0.000972,7032,0.006084
7,2026-07-17 21:23:43,gpt-5.4-mini,2436,0.0018269999999999998,69,0.0003105,2505,0.0021374999999999996
8,2026-07-17 21:23:48,gpt-5.4-mini,2433,0.00182475,60,0.00027,2493,0.00209475
9,2026-07-17 21:23:58,gpt-5.4-mini,6744,0.005058,152,0.000684,6896,0.005742
10,2026-07-17 21:24:02,gpt-5.4-mini,2435,0.0018262500000000002,58,0.000261,2493,0.00208725
11,2026-07-17 21:24:03,gpt-5.4-mini,2439,0.0018292500000000001,63,0.0002835,2502,0.00211275
12,2026-07-17 21:24:05,gpt-5.4-mini,2440,0.00183,62,0.000279,2502,0.002109
13,2026-07-17 21:24:06,gpt-5.4-mini,2442,0.0018315000000000002,51,0.0002295,2493,0.0020610000000000003
14,2026-07-17 21:24:07,gpt-5.4-mini,2433,0.00182475,55,0.0002475,2488,0.00207225
15,2026-07-17 21:24:08,gpt-5.4-mini,2434,0.0018254999999999999,50,0.00022500000000000002,2484,0.0020505
16,2026-07-17 21:24:09,gpt-5.4-mini,2451,0.00183825,68,0.000306,2519,0.00214425
17,2026-07-17 21:25:04,gpt-5.4-mini,77422,0.05806650000000001,2086,0.009387000000000001,79508,0.06745350000000001
18,2026-07-17 21:25:22,gpt-5.4-mini,6213,0.00465975,226,0.001017,6439,0.0056767499999999995
19,2026-07-17 21:25:24,gpt-5.4-mini,2098,0.0015735,73,0.0003285,2171,0.001902
20,2026-07-17 21:25:25,gpt-5.4-mini,2095,0.0015712500000000002,61,0.0002745,2156,0.0018457500000000002
21,2026-07-17 21:25:26,gpt-5.4-mini,2100,0.001575,64,0.000288,2164,0.001863
22,2026-07-17 21:25:28,gpt-5.4-mini,2097,0.00157275,51,0.0002295,2148,0.00180225
23,2026-07-17 21:25:32,gpt-5.4-mini,2101,0.00157575,59,0.0002655,2160,0.00184125
24,2026-07-17 21:25:34,gpt-5.4-mini,2102,0.0015765000000000002,90,0.00040500000000000003,2192,0.0019815
25,2026-07-17 21:25:36,gpt-5.4-mini,2104,0.001578,59,0.0002655,2163,0.0018435
26,2026-07-17 21:25:37,gpt-5.4-mini,2095,0.0015712500000000002,46,0.000207,2141,0.00177825
27,2026-07-17 21:25:38,gpt-5.4-mini,2096,0.001572,54,0.000243,2150,0.001815
28,2026-07-17 21:25:39,gpt-5.4-mini,2113,0.0015847499999999998,76,0.000342,2189,0.0019267499999999999
29,2026-07-17 21:26:20,gpt-5.4-mini,45352,0.034014,2476,0.011141999999999999,47828,0.045156
30,2026-07-17 21:26:47,gpt-5.4-mini,8800,0.0066,1311,0.0058995,10111,0.0124995
31,2026-07-17 21:34:20,gpt-5.4-mini,7312,0.005484,86,0.00038700000000000003,7398,0.005871
32,2026-07-17 21:34:22,gpt-5.4-mini,2793,0.00209475,99,0.0004455,2892,0.00254025
33,2026-07-17 21:34:23,gpt-5.4-mini,2790,0.0020924999999999997,44,0.000198,2834,0.0022904999999999996
34,2026-07-17 21:34:33,gpt-5.4-mini,7869,0.005901749999999999,145,0.0006525,8014,0.006554249999999999
35,2026-07-17 21:34:34,gpt-5.4-mini,2792,0.0020940000000000004,60,0.00027,2852,0.002364
36,2026-07-17 21:34:35,gpt-5.4-mini,2796,0.002097,50,0.00022500000000000002,2846,0.002322
37,2026-07-17 21:34:37,gpt-5.4-mini,2797,0.00209775,79,0.00035549999999999997,2876,0.0024532499999999997
38,2026-07-17 21:34:38,gpt-5.4-mini,2799,0.00209925,48,0.000216,2847,0.00231525
39,2026-07-17 21:34:40,gpt-5.4-mini,2790,0.0020924999999999997,62,0.000279,2852,0.0023715
40,2026-07-17 21:34:41,gpt-5.4-mini,2791,0.00209325,80,0.00036,2871,0.00245325
41,2026-07-17 21:34:43,gpt-5.4-mini,2808,0.0021060000000000002,71,0.0003195,2879,0.0024255
42,2026-07-17 21:35:07,gpt-5.4-mini,6021,0.004515750000000001,545,0.0024525000000000003,6566,0.0069682500000000005
43,2026-07-17 21:35:20,gpt-5.4-mini,8708,0.006531,487,0.0021915,9195,0.008722500000000001
