Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
1,2026-07-18 19:07:30,gpt-5-nano,4988,0.00024940000000000004,1183,0.0004732,6171,0.0007226000000000001
2,2026-07-18 19:07:51,gpt-5-nano,965,4.825000000000001e-05,3645,0.001458,4610,0.0015062500000000002
3,2026-07-18 19:08:10,gpt-5-nano,1192,5.96e-05,3070,0.001228,4262,0.0012875999999999999
4,2026-07-18 19:10:35,gpt-5-nano,83578,0.0041789,14495,0.005798,98073,0.0099769
5,2026-07-18 19:11:09,gpt-5-nano,1818,9.09e-05,5902,0.0023608,7720,0.0024517000000000002
6,2026-07-18 19:11:41,gpt-5-nano,2629,0.00013145,4675,0.0018700000000000001,7304,0.00200145
7,2026-07-18 19:11:53,gpt-5-nano,2308,0.00011540000000000001,1910,0.000764,4218,0.0008794
8,2026-07-18 19:12:00,gpt-5-nano,2309,0.00011545,934,0.00037360000000000003,3243,0.00048905
9,2026-07-18 19:12:13,gpt-5-nano,2304,0.00011520000000000001,2097,0.0008388,4401,0.000954
10,2026-07-18 19:12:30,gpt-5-nano,2313,0.00011565,2615,0.001046,4928,0.00116165
11,2026-07-18 19:12:46,gpt-5-nano,7419,0.00037095000000000004,1359,0.0005436,8778,0.0009145500000000001
12,2026-07-18 19:12:59,gpt-5-nano,2302,0.00011509999999999999,2176,0.0008704,4478,0.0009855
13,2026-07-18 19:13:10,gpt-5-nano,2314,0.00011570000000000001,1607,0.0006428,3921,0.0007585000000000001
14,2026-07-18 19:13:24,gpt-5-nano,2303,0.00011515000000000001,2069,0.0008276000000000001,4372,0.00094275
15,2026-07-18 19:13:36,gpt-5-nano,2307,0.00011535000000000001,1691,0.0006764000000000001,3998,0.0007917500000000001
16,2026-07-18 19:13:47,gpt-5-nano,2313,0.00011565,1906,0.0007624,4219,0.00087805
17,2026-07-18 19:15:15,gpt-5-nano,16706,0.0008353,12391,0.0049564,29097,0.0057916999999999995
18,2026-07-18 19:16:08,gpt-5-nano,2449,0.00012245,2910,0.0011639999999999999,5359,0.00128645
19,2026-07-18 19:16:19,gpt-5-nano,2128,0.00010640000000000001,1633,0.0006532,3761,0.0007596
20,2026-07-18 19:16:26,gpt-5-nano,2129,0.00010645,1254,0.0005015999999999999,3383,0.00060805
21,2026-07-18 19:16:36,gpt-5-nano,2124,0.0001062,1480,0.0005920000000000001,3604,0.0006982000000000001
22,2026-07-18 19:16:46,gpt-5-nano,2133,0.00010665,1473,0.0005892,3606,0.00069585
23,2026-07-18 19:16:54,gpt-5-nano,2123,0.00010615,1187,0.0004748,3310,0.00058095
24,2026-07-18 19:17:12,gpt-5-nano,2122,0.00010610000000000002,2702,0.0010808,4824,0.0011869
25,2026-07-18 19:17:23,gpt-5-nano,2134,0.0001067,1595,0.0006380000000000001,3729,0.0007447000000000002
26,2026-07-18 19:17:34,gpt-5-nano,2123,0.00010615,1705,0.000682,3828,0.00078815
27,2026-07-18 19:17:44,gpt-5-nano,2127,0.00010635000000000001,1388,0.0005551999999999999,3515,0.0006615499999999999
28,2026-07-18 19:18:01,gpt-5-nano,2133,0.00010665,2444,0.0009776000000000001,4577,0.0010842500000000001
29,2026-07-18 19:18:42,gpt-5-nano,13025,0.00065125,5398,0.0021592,18423,0.00281045
