dataset,algorithm,seed,k,ndcg,precision
MovieLens100K,ALS,42,1,0.1921443736730361,0.1921443736730361
MovieLens100K,ALS,42,5,0.1518113597129149,0.13227176220806877
MovieLens100K,ALS,42,10,0.14739105322860896,0.10891719745222914
MovieLens100K,ItemKNN,42,1,0.1921443736730361,0.1921443736730361
MovieLens100K,ItemKNN,42,5,0.1518113597129149,0.13227176220806877
MovieLens100K,ItemKNN,42,10,0.14739105322860896,0.10891719745222914
MovieLens100K,Pop,42,1,0.1921443736730361,0.1921443736730361
MovieLens100K,Pop,42,5,0.1518113597129149,0.13227176220806877
MovieLens100K,Pop,42,10,0.14739105322860896,0.10891719745222914
MovieLens100K,ALS,123,1,0.21549893842887474,0.21549893842887474
MovieLens100K,ALS,123,5,0.15543062086657425,0.13524416135881187
MovieLens100K,ALS,123,10,0.151280123495614,0.11082802547770675
MovieLens100K,ItemKNN,123,1,0.21549893842887474,0.21549893842887474
MovieLens100K,ItemKNN,123,5,0.15543062086657425,0.13524416135881187
MovieLens100K,ItemKNN,123,10,0.151280123495614,0.11082802547770675
MovieLens100K,Pop,123,1,0.21549893842887474,0.21549893842887474
MovieLens100K,Pop,123,5,0.15543062086657425,0.13524416135881187
MovieLens100K,Pop,123,10,0.151280123495614,0.11082802547770675
MovieLens100K,ALS,999,1,0.20488322717622082,0.20488322717622082
MovieLens100K,ALS,999,5,0.1538788122859349,0.13248407643312177
MovieLens100K,ALS,999,10,0.1509449231100843,0.10966029723991481
MovieLens100K,ItemKNN,999,1,0.20488322717622082,0.20488322717622082
MovieLens100K,ItemKNN,999,5,0.1538788122859349,0.13248407643312177
MovieLens100K,ItemKNN,999,10,0.1509449231100843,0.10966029723991481
MovieLens100K,Pop,999,1,0.20488322717622082,0.20488322717622082
MovieLens100K,Pop,999,5,0.1538788122859349,0.13248407643312177
MovieLens100K,Pop,999,10,0.1509449231100843,0.10966029723991481
MovieLens100K,ALS,7,1,0.20382165605095542,0.20382165605095542
MovieLens100K,ALS,7,5,0.15476625992695872,0.13524416135881187
MovieLens100K,ALS,7,10,0.15000314634580428,0.10902335456475551
MovieLens100K,ItemKNN,7,1,0.20382165605095542,0.20382165605095542
MovieLens100K,ItemKNN,7,5,0.15476625992695872,0.13524416135881187
MovieLens100K,ItemKNN,7,10,0.15000314634580428,0.10902335456475551
MovieLens100K,Pop,7,1,0.20382165605095542,0.20382165605095542
MovieLens100K,Pop,7,5,0.15476625992695872,0.13524416135881187
MovieLens100K,Pop,7,10,0.15000314634580428,0.10902335456475551
MovieLens100K,ALS,2024,1,0.16348195329087048,0.16348195329087048
MovieLens100K,ALS,2024,5,0.1483360013080565,0.13397027600849326
MovieLens100K,ALS,2024,10,0.14184866717976047,0.10721868365180437
MovieLens100K,ItemKNN,2024,1,0.16348195329087048,0.16348195329087048
MovieLens100K,ItemKNN,2024,5,0.1483360013080565,0.13397027600849326
MovieLens100K,ItemKNN,2024,10,0.14184866717976047,0.10721868365180437
MovieLens100K,Pop,2024,1,0.16348195329087048,0.16348195329087048
MovieLens100K,Pop,2024,5,0.1483360013080565,0.13397027600849326
MovieLens100K,Pop,2024,10,0.14184866717976047,0.10721868365180437
AmazonVideoGames,ALS,42,1,0.004333386050925194,0.004333386050925194
AmazonVideoGames,ALS,42,5,0.006053898273882687,0.0031693816226475036
AmazonVideoGames,ALS,42,10,0.0065009946356136186,0.002166693025462608
AmazonVideoGames,ItemKNN,42,1,0.004333386050925194,0.004333386050925194
AmazonVideoGames,ItemKNN,42,5,0.006053898273882687,0.0031693816226475036
AmazonVideoGames,ItemKNN,42,10,0.0065009946356136186,0.002166693025462608
AmazonVideoGames,Pop,42,1,0.004333386050925194,0.004333386050925194
AmazonVideoGames,Pop,42,5,0.006053898273882687,0.0031693816226475036
AmazonVideoGames,Pop,42,10,0.0065009946356136186,0.002166693025462608
AmazonVideoGames,ALS,123,1,0.004744583267436343,0.004744583267436343
AmazonVideoGames,ALS,123,5,0.005941758805482585,0.0032199905108334925
AmazonVideoGames,ALS,123,10,0.006484857815479092,0.002318519690020562
