Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
1,2026-07-20 06:56:44,gpt-5.4,5230,0.013075,25,0.000375,5255,0.01345
2,2026-07-20 06:56:58,gpt-5.4,7077,0.0176925,451,0.006765,7528,0.0244575
3,2026-07-20 06:57:02,gpt-5.4,1415,0.0035375,317,0.0047550000000000005,1732,0.008292500000000001
4,2026-07-20 06:57:58,gpt-5.4,55646,0.139115,4250,0.06375,59896,0.202865
5,2026-07-20 06:58:16,gpt-5.4,9494,0.023735000000000003,308,0.00462,9802,0.028355
6,2026-07-20 06:58:28,gpt-5.4,10352,0.02588,123,0.001845,10475,0.027725
7,2026-07-20 06:58:31,gpt-5.4,3767,0.0094175,44,0.00066,3811,0.0100775
8,2026-07-20 06:58:33,gpt-5.4,3774,0.009435,79,0.0011849999999999999,3853,0.010620000000000001
9,2026-07-20 06:58:35,gpt-5.4,3750,0.009375,58,0.00087,3808,0.010244999999999999
10,2026-07-20 06:58:46,gpt-5.4,8819,0.0220475,132,0.00198,8951,0.0240275
11,2026-07-20 06:58:48,gpt-5.4,3754,0.009385,59,0.0008849999999999999,3813,0.01027
12,2026-07-20 06:58:52,gpt-5.4,3756,0.009389999999999999,64,0.0009599999999999999,3820,0.010349999999999998
13,2026-07-20 06:59:02,gpt-5.4,10583,0.026457500000000002,124,0.00186,10707,0.028317500000000002
14,2026-07-20 06:59:04,gpt-5.4,3759,0.0093975,62,0.00093,3821,0.0103275
15,2026-07-20 06:59:06,gpt-5.4,3762,0.009405,61,0.000915,3823,0.01032
16,2026-07-20 06:59:07,gpt-5.4,3753,0.0093825,65,0.000975,3818,0.0103575
17,2026-07-20 07:00:09,gpt-5.4,70460,0.17614999999999997,3763,0.056444999999999995,74223,0.23259499999999997
18,2026-07-20 07:00:29,gpt-5.4,10298,0.025745,367,0.0055049999999999995,10665,0.03125
19,2026-07-20 07:00:39,gpt-5.4,9424,0.02356,121,0.001815,9545,0.025375
20,2026-07-20 07:00:41,gpt-5.4,4080,0.0102,51,0.000765,4131,0.010965
21,2026-07-20 07:00:53,gpt-5.4,9427,0.023567499999999998,120,0.0018,9547,0.025367499999999998
22,2026-07-20 07:00:55,gpt-5.4,4063,0.0101575,51,0.000765,4114,0.0109225
23,2026-07-20 07:01:06,gpt-5.4,9438,0.023595,142,0.00213,9580,0.025725
24,2026-07-20 07:01:07,gpt-5.4,4067,0.010167500000000001,55,0.000825,4122,0.0109925
25,2026-07-20 07:01:10,gpt-5.4,4069,0.0101725,63,0.000945,4132,0.011117499999999999
26,2026-07-20 07:01:20,gpt-5.4,10297,0.0257425,114,0.0017100000000000001,10411,0.0274525
27,2026-07-20 07:01:22,gpt-5.4,4072,0.01018,62,0.00093,4134,0.01111
28,2026-07-20 07:01:24,gpt-5.4,4075,0.010187499999999999,50,0.00075,4125,0.0109375
29,2026-07-20 07:01:26,gpt-5.4,4066,0.010165,51,0.000765,4117,0.01093
30,2026-07-20 07:02:12,gpt-5.4,41558,0.10389499999999999,4198,0.06297,45756,0.16686499999999999
31,2026-07-20 07:02:42,gpt-5.4,12093,0.0302325,3576,0.05364,15669,0.0838725
32,2026-07-20 07:04:18,gpt-5.4,12849,0.0321225,289,0.0043349999999999994,13138,0.0364575
33,2026-07-20 07:04:30,gpt-5.4,10755,0.0268875,137,0.002055,10892,0.028942500000000003
34,2026-07-20 07:04:31,gpt-5.4,4690,0.011725,48,0.00072,4738,0.012445
35,2026-07-20 07:04:33,gpt-5.4,4697,0.0117425,75,0.001125,4772,0.012867499999999999
36,2026-07-20 07:04:35,gpt-5.4,4673,0.0116825,39,0.000585,4712,0.0122675
37,2026-07-20 07:04:36,gpt-5.4,4703,0.011757499999999999,71,0.001065,4774,0.012822499999999999
38,2026-07-20 07:04:38,gpt-5.4,4677,0.0116925,60,0.0009,4737,0.0125925
39,2026-07-20 07:04:42,gpt-5.4,4679,0.0116975,50,0.00075,4729,0.0124475
40,2026-07-20 07:04:43,gpt-5.4,4688,0.011720000000000001,68,0.00102,4756,0.012740000000000001
41,2026-07-20 07:04:45,gpt-5.4,4682,0.011705,66,0.00099,4748,0.012695
42,2026-07-20 07:04:47,gpt-5.4,4685,0.0117125,47,0.000705,4732,0.012417500000000001
43,2026-07-20 07:04:49,gpt-5.4,4676,0.011689999999999999,49,0.000735,4725,0.012424999999999999
44,2026-07-20 07:05:34,gpt-5.4,42731,0.10682749999999999,4129,0.061935,46860,0.16876249999999998
45,2026-07-20 07:06:07,gpt-5.4,16376,0.040940000000000004,3855,0.057825,20231,0.098765
46,2026-07-20 07:06:41,gpt-5.4,11338,0.028345000000000002,3734,0.05601,15072,0.084355
47,2026-07-20 07:08:04,gpt-5.4,5129,0.0128225,24,0.00036,5153,0.0131825
48,2026-07-20 07:08:06,gpt-5.4,4865,0.012162500000000001,72,0.00108,4937,0.0132425
49,2026-07-20 07:08:07,gpt-5.4,4860,0.01215,45,0.000675,4905,0.012825
50,2026-07-20 07:08:09,gpt-5.4,4867,0.0121675,69,0.001035,4936,0.013202499999999999
51,2026-07-20 07:08:11,gpt-5.4,4843,0.0121075,39,0.000585,4882,0.0126925
52,2026-07-20 07:08:13,gpt-5.4,4873,0.012182499999999999,69,0.001035,4942,0.013217499999999998
53,2026-07-20 07:08:14,gpt-5.4,4847,0.0121175,61,0.000915,4908,0.013032499999999999
54,2026-07-20 07:08:16,gpt-5.4,4849,0.0121225,44,0.00066,4893,0.012782499999999999
55,2026-07-20 07:08:17,gpt-5.4,4858,0.012145000000000001,50,0.00075,4908,0.012895000000000002
56,2026-07-20 07:08:19,gpt-5.4,4852,0.012130000000000002,62,0.00093,4914,0.013060000000000002
57,2026-07-20 07:08:20,gpt-5.4,4855,0.012137499999999999,43,0.0006450000000000001,4898,0.012782499999999999
58,2026-07-20 07:08:22,gpt-5.4,4846,0.012114999999999999,48,0.00072,4894,0.012835
59,2026-07-20 07:09:18,gpt-5.4,52893,0.1322325,4452,0.06678,57345,0.1990125
60,2026-07-20 07:10:33,gpt-5.4,11996,0.02999,225,0.003375,12221,0.033365
61,2026-07-20 07:10:34,gpt-5.4,4885,0.0122125,67,0.001005,4952,0.0132175
62,2026-07-20 07:10:36,gpt-5.4,4880,0.012199999999999999,45,0.000675,4925,0.012875
63,2026-07-20 07:10:38,gpt-5.4,4887,0.0122175,68,0.00102,4955,0.0132375
64,2026-07-20 07:10:39,gpt-5.4,4863,0.0121575,51,0.000765,4914,0.0129225
65,2026-07-20 07:10:41,gpt-5.4,4893,0.0122325,71,0.001065,4964,0.0132975
66,2026-07-20 07:10:43,gpt-5.4,4867,0.0121675,74,0.0011099999999999999,4941,0.0132775
67,2026-07-20 07:10:45,gpt-5.4,4869,0.0121725,55,0.000825,4924,0.012997499999999999
68,2026-07-20 07:10:46,gpt-5.4,4878,0.012195000000000001,61,0.000915,4939,0.01311
69,2026-07-20 07:10:48,gpt-5.4,4872,0.01218,61,0.000915,4933,0.013094999999999999
70,2026-07-20 07:10:49,gpt-5.4,4875,0.0121875,52,0.00078,4927,0.0129675
71,2026-07-20 07:10:51,gpt-5.4,4866,0.012164999999999999,57,0.0008550000000000001,4923,0.013019999999999999
72,2026-07-20 07:11:23,gpt-5.4,16457,0.0411425,4006,0.06009,20463,0.1012325
73,2026-07-20 07:12:55,gpt-5.4,12111,0.0302775,78,0.00117,12189,0.031447499999999996
74,2026-07-20 07:12:57,gpt-5.4,4849,0.0121225,69,0.001035,4918,0.013157499999999999
75,2026-07-20 07:12:58,gpt-5.4,4844,0.012110000000000001,45,0.000675,4889,0.012785000000000001
76,2026-07-20 07:13:00,gpt-5.4,4851,0.012127500000000001,61,0.000915,4912,0.013042500000000002
77,2026-07-20 07:13:02,gpt-5.4,4827,0.012067499999999998,43,0.0006450000000000001,4870,0.012712499999999998
78,2026-07-20 07:13:03,gpt-5.4,4857,0.0121425,66,0.00099,4923,0.0131325
79,2026-07-20 07:13:05,gpt-5.4,4831,0.012077500000000001,79,0.0011849999999999999,4910,0.013262500000000002
80,2026-07-20 07:13:07,gpt-5.4,4833,0.0120825,50,0.00075,4883,0.0128325
81,2026-07-20 07:13:08,gpt-5.4,4842,0.012105,56,0.00084,4898,0.012945
82,2026-07-20 07:13:11,gpt-5.4,4836,0.01209,62,0.00093,4898,0.01302
83,2026-07-20 07:13:12,gpt-5.4,4839,0.0120975,55,0.000825,4894,0.0129225
84,2026-07-20 07:13:14,gpt-5.4,4830,0.012075,46,0.00069,4876,0.012765
85,2026-07-20 07:14:04,gpt-5.4,36916,0.09229,5759,0.086385,42675,0.178675
86,2026-07-20 07:14:22,gpt-5.4,13087,0.0327175,326,0.00489,13413,0.037607499999999995
87,2026-07-20 07:14:24,gpt-5.4,5100,0.012750000000000001,63,0.000945,5163,0.013695
88,2026-07-20 07:14:26,gpt-5.4,5095,0.012737499999999999,48,0.00072,5143,0.013457499999999999
89,2026-07-20 07:14:36,gpt-5.4,12369,0.0309225,131,0.001965,12500,0.0328875
90,2026-07-20 07:14:38,gpt-5.4,5078,0.012695,49,0.000735,5127,0.01343
91,2026-07-20 07:14:40,gpt-5.4,5108,0.01277,80,0.0012000000000000001,5188,0.01397
92,2026-07-20 07:14:43,gpt-5.4,5082,0.012705,59,0.0008849999999999999,5141,0.01359
93,2026-07-20 07:14:44,gpt-5.4,5084,0.012709999999999999,43,0.0006450000000000001,5127,0.013354999999999999
94,2026-07-20 07:14:46,gpt-5.4,5093,0.0127325,62,0.00093,5155,0.013662500000000001
95,2026-07-20 07:14:48,gpt-5.4,5087,0.012717500000000001,56,0.00084,5143,0.013557500000000002
96,2026-07-20 07:14:49,gpt-5.4,5090,0.012725,56,0.00084,5146,0.013565
