dataset,algorithm,seed,cutoff,metric,value
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,7,1,NDCG,0.19618239660657477
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,7,5,NDCG,0.1733436902695713
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,7,10,NDCG,0.16211090029899028
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,7,1,Recall,0.19618239660657477
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,7,5,Recall,0.17426652527394837
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,7,10,Recall,0.19651567944250814
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,7,1,NDCG,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,7,5,NDCG,0.2537533498524806
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,7,10,NDCG,0.22229996864672735
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,7,1,Recall,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,7,5,Recall,0.2470130788264398
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,7,10,Recall,0.24942601289366909
MovieLens100K,LensKit.PopScorer-f4aa5539-7,7,1,NDCG,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-7,7,5,NDCG,0.17016948593776762
MovieLens100K,LensKit.PopScorer-f4aa5539-7,7,10,NDCG,0.1495896613000231
MovieLens100K,LensKit.PopScorer-f4aa5539-7,7,1,Recall,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-7,7,5,Recall,0.15949098621421023
MovieLens100K,LensKit.PopScorer-f4aa5539-7,7,10,Recall,0.15646492955612756
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,13,1,NDCG,0.19618239660657477
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,13,5,NDCG,0.1733436902695713
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,13,10,NDCG,0.16211090029899028
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,13,1,Recall,0.19618239660657477
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,13,5,Recall,0.17426652527394837
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-7,13,10,Recall,0.19651567944250814
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,13,1,NDCG,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,13,5,NDCG,0.2537533498524806
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,13,10,NDCG,0.22229996864672735
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,13,1,Recall,0.30116648992576883
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,13,5,Recall,0.2470130788264398
MovieLens100K,LensKit.ItemKNNScorer-c3d66610-7,13,10,Recall,0.24942601289366909
MovieLens100K,LensKit.PopScorer-f4aa5539-7,13,1,NDCG,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-7,13,5,NDCG,0.17016948593776762
MovieLens100K,LensKit.PopScorer-f4aa5539-7,13,10,NDCG,0.1495896613000231
MovieLens100K,LensKit.PopScorer-f4aa5539-7,13,1,Recall,0.2163308589607635
MovieLens100K,LensKit.PopScorer-f4aa5539-7,13,5,Recall,0.15949098621421023
MovieLens100K,LensKit.PopScorer-f4aa5539-7,13,10,Recall,0.15646492955612756
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,13,1,NDCG,0.19300106044538706
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,13,5,NDCG,0.18014381135421417
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,13,10,NDCG,0.16789593771205502
MovieLens100K,LensKit.ImplicitMFScorer-f0dd7ecb-13,13,1,Recall,0.19300106044538706
