dataset,algorithm,algorithm_class,seed,metric,k,value
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,1,0.0
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,Precision,1,0.0
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,5,0.0
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,Precision,5,0.0
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.06943122193677727
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,Precision,10,0.1
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.0
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,Precision,10,0.0
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.14465249243306436
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,Precision,10,0.2
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.14926017916129347
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,1,1.0
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,Precision,1,1.0
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,5,0.4703652827859579
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,Precision,5,0.4
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.36885567213865283
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,Precision,10,0.3
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.07834851647149513
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,5,0.13120507751234178
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,Precision,5,0.2
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.15850703974098102
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,5,0.21398626473452756
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.13886244387355454
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,5,0.34519134224686937
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.2973694836145356
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.06362078819895171
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.13305201013572898
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.1635413866202963
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.08514311764162098
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,5,0.14606834984270645
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.1681522864689108
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,5,0.3391602052736161
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.3391602052736161
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.38121301394452073
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,5,0.8539316501572937
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,Precision,5,0.8
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.7787926658840254
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,Precision,10,0.5
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.15139734109601002
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.22009176629808017
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.13698471029831175
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.07839826897867533
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,5,0.15101961822780524
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.15101961822780524
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.15958907712489637
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,5,0.23719771276929622
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.23719771276929622
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.28371255449703187
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.06625422345438903
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.3562071871080222
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.09478836436955078
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.20248323207250624
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.07336392209936005
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,5,0.46927872602275644
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.46927872602275644
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.0901000086523677
MovieLens100K,ALS,omnirec.runner.algos.LensKit,7,nDCG,10,0.09803928583135704
