Position,Timestamp,Model,Prompt Tokens,Prompt USD,Completion Tokens,Completion USD,Total Tokens,Total USD
1,2026-07-24 09:05:55,gpt-5.4-mini,6438,0.0048285,36,0.000162,6474,0.0049905
2,2026-07-24 09:06:10,gpt-5.4-mini,8508,0.0063809999999999995,392,0.001764,8900,0.008145
3,2026-07-24 09:06:22,gpt-5.4-mini,12145,0.009108749999999999,381,0.0017144999999999999,12526,0.01082325
4,2026-07-24 09:07:01,gpt-5.4-mini,67773,0.05082975,1310,0.005895,69083,0.05672475
5,2026-07-24 09:07:06,gpt-5.4-mini,2613,0.0019597499999999997,180,0.0008100000000000001,2793,0.0027697499999999996
6,2026-07-24 09:07:08,gpt-5.4-mini,2363,0.00177225,47,0.0002115,2410,0.00198375
7,2026-07-24 09:07:10,gpt-5.4-mini,2346,0.0017595,57,0.0002565,2403,0.002016
8,2026-07-24 09:07:11,gpt-5.4-mini,2350,0.0017625000000000002,44,0.000198,2394,0.0019605
9,2026-07-24 09:07:12,gpt-5.4-mini,2351,0.0017632499999999998,65,0.00029249999999999995,2416,0.00205575
10,2026-07-24 09:07:13,gpt-5.4-mini,2358,0.0017684999999999999,55,0.0002475,2413,0.002016
11,2026-07-24 09:07:15,gpt-5.4-mini,2354,0.0017655000000000001,58,0.000261,2412,0.0020265
12,2026-07-24 09:07:16,gpt-5.4-mini,2351,0.0017632499999999998,44,0.000198,2395,0.00196125
13,2026-07-24 09:07:17,gpt-5.4-mini,2359,0.00176925,46,0.000207,2405,0.00197625
14,2026-07-24 09:07:20,gpt-5.4-mini,2349,0.0017617499999999999,60,0.00027,2409,0.0020317499999999997
15,2026-07-24 09:07:21,gpt-5.4-mini,2351,0.0017632499999999998,58,0.000261,2409,0.00202425
16,2026-07-24 09:07:22,gpt-5.4-mini,2351,0.0017632499999999998,59,0.0002655,2410,0.0020287499999999997
17,2026-07-24 09:07:24,gpt-5.4-mini,2348,0.001761,56,0.000252,2404,0.002013
18,2026-07-24 09:07:25,gpt-5.4-mini,2350,0.0017625000000000002,49,0.0002205,2399,0.0019830000000000004
19,2026-07-24 09:07:26,gpt-5.4-mini,2349,0.0017617499999999999,40,0.00018,2389,0.00194175
20,2026-07-24 09:08:01,gpt-5.4-mini,58278,0.043708500000000004,1837,0.0082665,60115,0.05197500000000001
21,2026-07-24 09:08:25,gpt-5.4-mini,11632,0.008723999999999999,1055,0.0047475,12687,0.013471499999999999
22,2026-07-24 09:08:40,gpt-5.4-mini,3352,0.0025139999999999997,93,0.0004185,3445,0.0029324999999999998
23,2026-07-24 09:08:42,gpt-5.4-mini,3102,0.0023265,47,0.0002115,3149,0.002538
24,2026-07-24 09:08:43,gpt-5.4-mini,3085,0.00231375,58,0.000261,3143,0.0025747499999999998
25,2026-07-24 09:08:44,gpt-5.4-mini,3089,0.0023167500000000002,64,0.000288,3153,0.0026047500000000003
26,2026-07-24 09:08:47,gpt-5.4-mini,3090,0.0023175,73,0.0003285,3163,0.002646
27,2026-07-24 09:08:49,gpt-5.4-mini,3097,0.00232275,55,0.0002475,3152,0.00257025
28,2026-07-24 09:08:50,gpt-5.4-mini,3093,0.0023197499999999998,65,0.00029249999999999995,3158,0.0026122499999999996
29,2026-07-24 09:08:51,gpt-5.4-mini,3090,0.0023175,53,0.0002385,3143,0.002556
30,2026-07-24 09:08:53,gpt-5.4-mini,3098,0.0023235,69,0.0003105,3167,0.002634
31,2026-07-24 09:08:54,gpt-5.4-mini,3088,0.002316,69,0.0003105,3157,0.0026265
32,2026-07-24 09:08:55,gpt-5.4-mini,3090,0.0023175,66,0.000297,3156,0.0026145
33,2026-07-24 09:08:58,gpt-5.4-mini,3090,0.0023175,49,0.0002205,3139,0.0025380000000000003
34,2026-07-24 09:08:59,gpt-5.4-mini,3087,0.00231525,55,0.0002475,3142,0.00256275
35,2026-07-24 09:09:01,gpt-5.4-mini,3089,0.0023167500000000002,57,0.0002565,3146,0.00257325
36,2026-07-24 09:09:02,gpt-5.4-mini,3088,0.002316,44,0.000198,3132,0.0025139999999999997
37,2026-07-24 09:09:41,gpt-5.4-mini,25479,0.01910925,3427,0.0154215,28906,0.03453075
38,2026-07-24 09:10:16,gpt-5.4-mini,18456,0.013842,3101,0.0139545,21557,0.027796500000000002
39,2026-07-24 09:10:26,gpt-5.4-mini,6585,0.0049387499999999996,258,0.001161,6843,0.006099749999999999
40,2026-07-24 09:10:28,gpt-5.4-mini,6335,0.00475125,65,0.00029249999999999995,6400,0.0050437500000000005
41,2026-07-24 09:10:30,gpt-5.4-mini,6318,0.0047385,60,0.00027,6378,0.0050085
42,2026-07-24 09:10:33,gpt-5.4-mini,6322,0.0047415,59,0.0002655,6381,0.005007
43,2026-07-24 09:10:34,gpt-5.4-mini,6323,0.00474225,67,0.0003015,6390,0.00504375
44,2026-07-24 09:10:35,gpt-5.4-mini,6330,0.0047475,69,0.0003105,6399,0.005058
45,2026-07-24 09:10:37,gpt-5.4-mini,6326,0.0047445000000000005,77,0.0003465,6403,0.005091
46,2026-07-24 09:10:39,gpt-5.4-mini,6323,0.00474225,50,0.00022500000000000002,6373,0.00496725
47,2026-07-24 09:10:40,gpt-5.4-mini,6331,0.00474825,75,0.00033749999999999996,6406,0.00508575
48,2026-07-24 09:10:42,gpt-5.4-mini,6321,0.00474075,60,0.00027,6381,0.0050107500000000004
49,2026-07-24 09:10:43,gpt-5.4-mini,6323,0.00474225,74,0.00033299999999999996,6397,0.00507525
50,2026-07-24 09:10:45,gpt-5.4-mini,6323,0.00474225,62,0.000279,6385,0.00502125
51,2026-07-24 09:10:46,gpt-5.4-mini,6320,0.00474,60,0.00027,6380,0.0050100000000000006
52,2026-07-24 09:10:48,gpt-5.4-mini,6322,0.0047415,67,0.0003015,6389,0.005043
53,2026-07-24 09:10:49,gpt-5.4-mini,6321,0.00474075,65,0.00029249999999999995,6386,0.00503325
54,2026-07-24 09:11:51,gpt-5.4-mini,59157,0.04436775,3442,0.015489000000000001,62599,0.05985675
55,2026-07-24 09:12:21,gpt-5.4-mini,14360,0.01077,2965,0.0133425,17325,0.024112500000000002
56,2026-07-24 09:12:29,gpt-5.4-mini,4913,0.0036847499999999997,184,0.000828,5097,0.004512749999999999
57,2026-07-24 09:12:31,gpt-5.4-mini,4663,0.0034972499999999995,55,0.0002475,4718,0.0037447499999999994
58,2026-07-24 09:12:32,gpt-5.4-mini,4646,0.0034844999999999998,44,0.000198,4690,0.0036824999999999996
59,2026-07-24 09:12:33,gpt-5.4-mini,4650,0.0034874999999999997,64,0.000288,4714,0.0037754999999999998
60,2026-07-24 09:12:37,gpt-5.4-mini,4651,0.00348825,54,0.000243,4705,0.00373125
61,2026-07-24 09:12:38,gpt-5.4-mini,4658,0.0034935,69,0.0003105,4727,0.003804
62,2026-07-24 09:12:40,gpt-5.4-mini,4654,0.0034905,51,0.0002295,4705,0.00372
63,2026-07-24 09:12:42,gpt-5.4-mini,4651,0.00348825,64,0.000288,4715,0.00377625
64,2026-07-24 09:12:43,gpt-5.4-mini,4659,0.00349425,68,0.000306,4727,0.00380025
65,2026-07-24 09:12:45,gpt-5.4-mini,4649,0.0034867500000000003,53,0.0002385,4702,0.0037252500000000003
66,2026-07-24 09:12:46,gpt-5.4-mini,4651,0.00348825,53,0.0002385,4704,0.00372675
67,2026-07-24 09:12:47,gpt-5.4-mini,4651,0.00348825,60,0.00027,4711,0.00375825
68,2026-07-24 09:12:49,gpt-5.4-mini,4648,0.0034860000000000004,58,0.000261,4706,0.0037470000000000003
69,2026-07-24 09:12:50,gpt-5.4-mini,4650,0.0034874999999999997,56,0.000252,4706,0.0037394999999999998
70,2026-07-24 09:12:52,gpt-5.4-mini,4649,0.0034867500000000003,48,0.000216,4697,0.0037027500000000003
