key,dataset,algorithm,algorithm_class,seed,metric,k,value
MovieLens100K|ALS|seed=42|NDCG@1,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,42,NDCG,1,0.2025586353944563
MovieLens100K|ALS|seed=42|NDCG@5,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,42,NDCG,5,0.17907378026191842
MovieLens100K|ALS|seed=42|NDCG@10,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,42,NDCG,10,0.19100954072428322
MovieLens100K|ALS|seed=42|Precision@1,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,42,Precision,1,0.2025586353944563
MovieLens100K|ALS|seed=42|Precision@5,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,42,Precision,5,0.16375266524520257
MovieLens100K|ALS|seed=42|Precision@10,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,42,Precision,10,0.14466950959488276
MovieLens100K|ItemKNN|seed=42|NDCG@1,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,42,NDCG,1,0.30383795309168443
MovieLens100K|ItemKNN|seed=42|NDCG@5,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,42,NDCG,5,0.2550761826682506
MovieLens100K|ItemKNN|seed=42|NDCG@10,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,42,NDCG,10,0.25204850583326605
MovieLens100K|ItemKNN|seed=42|Precision@1,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,42,Precision,1,0.30383795309168443
MovieLens100K|ItemKNN|seed=42|Precision@5,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,42,Precision,5,0.22707889125799577
MovieLens100K|ItemKNN|seed=42|Precision@10,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,42,Precision,10,0.18358208955223881
MovieLens100K|Pop|seed=42|NDCG@1,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,42,NDCG,1,0.21321961620469082
MovieLens100K|Pop|seed=42|NDCG@5,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,42,NDCG,5,0.15931155534247157
MovieLens100K|Pop|seed=42|NDCG@10,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,42,NDCG,10,0.15692846272890543
MovieLens100K|Pop|seed=42|Precision@1,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,42,Precision,1,0.21321961620469082
MovieLens100K|Pop|seed=42|Precision@5,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,42,Precision,5,0.14285714285714285
MovieLens100K|Pop|seed=42|Precision@10,MovieLens100K,Pop,lenskit.basic.popularity.PopScorer,42,Precision,10,0.12281449893390192
MovieLens100K|ALS|seed=43|NDCG@1,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,43,NDCG,1,0.1929637526652452
MovieLens100K|ALS|seed=43|NDCG@5,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,43,NDCG,5,0.1901300674110021
MovieLens100K|ALS|seed=43|NDCG@10,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,43,NDCG,10,0.201592740380697
MovieLens100K|ALS|seed=43|Precision@1,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,43,Precision,1,0.1929637526652452
MovieLens100K|ALS|seed=43|Precision@5,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,43,Precision,5,0.17334754797441365
MovieLens100K|ALS|seed=43|Precision@10,MovieLens100K,ALS,lenskit.als._implicit.ImplicitMFScorer,43,Precision,10,0.15170575692963753
MovieLens100K|ItemKNN|seed=43|NDCG@1,MovieLens100K,ItemKNN,lenskit.knn.item.ItemKNNScorer,43,NDCG,1,0.31663113006396587
