dataset,algorithm,seed,algorithm_class,wall_seconds,peak_rss_mib,delta_rss_mib,fit_seconds,predict_seconds,evaluate_seconds,users_scored
MovieLens100K,ALS,42,lenskit.als._implicit.ImplicitMFScorer,25.881,345.9,15.2,0.902,22.781,2.195,938
MovieLens100K,ItemKNN,42,lenskit.knn.item.ItemKNNScorer,24.717,366.5,20.6,0.264,22.198,2.252,938
MovieLens100K,Pop,42,lenskit.basic.popularity.PopScorer,24.852,362.4,9.7,0.994,21.681,2.174,938
MovieLens100K,ALS,43,lenskit.als._implicit.ImplicitMFScorer,24.658,346.9,16.5,0.373,22.093,2.189,938
MovieLens100K,ItemKNN,43,lenskit.knn.item.ItemKNNScorer,23.155,366.9,19.9,0.199,20.681,2.272,938
MovieLens100K,Pop,43,lenskit.basic.popularity.PopScorer,23.213,361.4,8.2,0.055,21.091,2.065,938
MovieLens100K,ALS,44,lenskit.als._implicit.ImplicitMFScorer,24.255,367.0,3.9,0.169,21.921,2.163,938
MovieLens100K,ItemKNN,44,lenskit.knn.item.ItemKNNScorer,23.237,380.8,14.3,0.187,20.925,2.123,938
MovieLens100K,Pop,44,lenskit.basic.popularity.PopScorer,23.602,370.6,4.5,0.026,21.24,2.333,938
MovieLens100K,ALS,45,lenskit.als._implicit.ImplicitMFScorer,23.903,376.5,2.9,0.167,21.572,2.161,938
MovieLens100K,ItemKNN,45,lenskit.knn.item.ItemKNNScorer,23.131,387.5,11.8,0.189,20.8,2.138,938
MovieLens100K,Pop,45,lenskit.basic.popularity.PopScorer,23.375,376.5,3.9,0.037,21.235,2.101,938
MovieLens100K,ALS,46,lenskit.als._implicit.ImplicitMFScorer,22.549,381.3,3.1,0.164,20.257,2.126,938
MovieLens100K,ItemKNN,46,lenskit.knn.item.ItemKNNScorer,22.985,388.5,8.0,0.186,20.743,2.052,938
MovieLens100K,Pop,46,lenskit.basic.popularity.PopScorer,21.829,377.4,3.5,0.025,19.77,2.031,938
AmazonVideoGames,ALS,42,lenskit.als._implicit.ImplicitMFScorer,158.449,685.0,273.1,2.523,85.602,70.321,33621
AmazonVideoGames,ItemKNN,42,lenskit.knn.item.ItemKNNScorer,155.592,729.2,199.6,0.499,85.967,69.123,33621
AmazonVideoGames,Pop,42,lenskit.basic.popularity.PopScorer,151.644,700.9,144.3,0.117,77.614,73.911,33621
AmazonVideoGames,ALS,43,lenskit.als._implicit.ImplicitMFScorer,161.358,712.0,133.0,2.628,91.269,67.458,33621
AmazonVideoGames,ItemKNN,43,lenskit.knn.item.ItemKNNScorer,168.129,735.0,159.7,0.39,93.923,73.814,33621
AmazonVideoGames,Pop,43,lenskit.basic.popularity.PopScorer,152.942,705.9,113.8,0.118,83.624,69.198,33621
AmazonVideoGames,ALS,44,lenskit.als._implicit.ImplicitMFScorer,153.876,714.0,111.7,2.765,84.483,66.626,33621
AmazonVideoGames,ItemKNN,44,lenskit.knn.item.ItemKNNScorer,152.738,737.2,141.9,0.447,83.165,69.124,33621
AmazonVideoGames,Pop,44,lenskit.basic.popularity.PopScorer,135.952,706.4,92.6,0.109,68.673,67.168,33621
AmazonVideoGames,ALS,45,lenskit.als._implicit.ImplicitMFScorer,150.139,654.3,53.9,2.42,79.557,68.159,33621
AmazonVideoGames,ItemKNN,45,lenskit.knn.item.ItemKNNScorer,152.458,662.6,131.9,0.423,83.71,68.323,33621
AmazonVideoGames,Pop,45,lenskit.basic.popularity.PopScorer,136.633,630.6,82.9,0.114,69.042,67.475,33621
AmazonVideoGames,ALS,46,lenskit.als._implicit.ImplicitMFScorer,148.102,640.9,101.8,2.443,79.303,66.354,33621
AmazonVideoGames,ItemKNN,46,lenskit.knn.item.ItemKNNScorer,153.219,662.7,130.2,0.325,83.555,69.337,33621
AmazonVideoGames,Pop,46,lenskit.basic.popularity.PopScorer,136.932,630.6,77.5,0.109,70.16,66.66,33621
HetrecLastFM,ALS,42,lenskit.als._implicit.ImplicitMFScorer,22.831,593.4,2.3,0.358,20.161,2.309,1090
HetrecLastFM,ItemKNN,42,lenskit.knn.item.ItemKNNScorer,23.204,560.6,3.5,0.263,20.56,2.378,1090
HetrecLastFM,Pop,42,lenskit.basic.popularity.PopScorer,22.127,476.0,3.1,0.026,19.787,2.313,1090
HetrecLastFM,ALS,43,lenskit.als._implicit.ImplicitMFScorer,22.52,475.6,5.4,0.307,19.846,2.364,1090
HetrecLastFM,ItemKNN,43,lenskit.knn.item.ItemKNNScorer,24.337,539.4,65.7,0.233,21.729,2.373,1090
HetrecLastFM,Pop,43,lenskit.basic.popularity.PopScorer,22.445,510.0,0.0,0.026,20.084,2.333,1090
HetrecLastFM,ALS,44,lenskit.als._implicit.ImplicitMFScorer,22.614,509.6,1.4,0.286,20.008,2.317,1090
HetrecLastFM,ItemKNN,44,lenskit.knn.item.ItemKNNScorer,23.498,553.4,46.1,0.251,20.873,2.372,1090
HetrecLastFM,Pop,44,lenskit.basic.popularity.PopScorer,21.902,522.9,1.4,0.026,19.543,2.331,1090
HetrecLastFM,ALS,45,lenskit.als._implicit.ImplicitMFScorer,22.627,523.1,1.4,0.305,20.002,2.318,1090
HetrecLastFM,ItemKNN,45,lenskit.knn.item.ItemKNNScorer,23.227,522.6,0.9,0.245,20.603,2.378,1090
HetrecLastFM,Pop,45,lenskit.basic.popularity.PopScorer,22.164,482.5,3.1,0.026,19.81,2.326,1090
HetrecLastFM,ALS,46,lenskit.als._implicit.ImplicitMFScorer,22.515,490.3,6.6,0.287,19.909,2.316,1090
HetrecLastFM,ItemKNN,46,lenskit.knn.item.ItemKNNScorer,23.154,543.1,55.2,0.262,20.479,2.411,1090
HetrecLastFM,Pop,46,lenskit.basic.popularity.PopScorer,22.16,514.1,0.5,0.026,19.782,2.35,1090
