dataset,seed,train_interactions,test_interactions,val_interactions,total_interactions,test_fraction,train_users,test_users,train_items,test_items,users_without_holdout
MovieLens100K,42,43158,11255,0,54413,0.206844,938,938,1008,959,0
MovieLens100K,43,43158,11255,0,54413,0.206844,938,938,1008,948,0
MovieLens100K,44,43158,11255,0,54413,0.206844,938,938,1008,964,0
MovieLens100K,45,43158,11255,0,54413,0.206844,938,938,1008,953,0
MovieLens100K,46,43158,11255,0,54413,0.206844,938,938,1008,964,0
AmazonVideoGames,42,221578,70367,0,291945,0.241028,33621,33621,12453,10849,0
AmazonVideoGames,43,221578,70367,0,291945,0.241028,33621,33621,12451,11641,0
AmazonVideoGames,44,221578,70367,0,291945,0.241028,33621,33621,12453,10947,0
AmazonVideoGames,45,221578,70367,0,291945,0.241028,33621,33621,12452,11113,0
AmazonVideoGames,46,221578,70367,0,291945,0.241028,33621,33621,12452,11360,0
HetrecLastFM,42,41597,10954,0,52551,0.208445,1090,1090,3645,3078,0
HetrecLastFM,43,41597,10954,0,52551,0.208445,1090,1090,3646,3144,0
HetrecLastFM,44,41597,10954,0,52551,0.208445,1090,1090,3646,3093,0
HetrecLastFM,45,41597,10954,0,52551,0.208445,1090,1090,3645,3136,0
HetrecLastFM,46,41597,10954,0,52551,0.208445,1090,1090,3646,3058,0
