dataset,seed,omnirec_dataset_id,algorithm,fold,name,k,value
MovieLens100K,42,MovieLens100K_seed42-eff9ee63,LensKit.ImplicitMFScorer-f0dd7ecb-42,,NDCG,1,0.20042643923240938
MovieLens100K,42,MovieLens100K_seed42-eff9ee63,LensKit.ImplicitMFScorer-f0dd7ecb-42,,NDCG,5,0.17662614905415835
MovieLens100K,42,MovieLens100K_seed42-eff9ee63,LensKit.ImplicitMFScorer-f0dd7ecb-42,,NDCG,10,0.1585414368895548
MovieLens100K,42,MovieLens100K_seed42-eff9ee63,LensKit.ImplicitMFScorer-f0dd7ecb-42,,Precision,1,0.20042643923240938
MovieLens100K,42,MovieLens100K_seed42-eff9ee63,LensKit.ImplicitMFScorer-f0dd7ecb-42,,Precision,5,0.17036247334754798
MovieLens100K,42,MovieLens100K_seed42-eff9ee63,LensKit.ImplicitMFScorer-f0dd7ecb-42,,Precision,10,0.1476545842217484
MovieLens100K,42,MovieLens100K_seed42-eff9ee63,LensKit.ItemKNNScorer-c3d66610-42,,NDCG,1,0.30383795309168443
MovieLens100K,42,MovieLens100K_seed42-eff9ee63,LensKit.ItemKNNScorer-c3d66610-42,,NDCG,5,0.24346954268917462
MovieLens100K,42,MovieLens100K_seed42-eff9ee63,LensKit.ItemKNNScorer-c3d66610-42,,NDCG,10,0.20750283319338914
MovieLens100K,42,MovieLens100K_seed42-eff9ee63,LensKit.ItemKNNScorer-c3d66610-42,,Precision,1,0.30383795309168443
MovieLens100K,42,MovieLens100K_seed42-eff9ee63,LensKit.ItemKNNScorer-c3d66610-42,,Precision,5,0.22707889125799574
MovieLens100K,42,MovieLens100K_seed42-eff9ee63,LensKit.ItemKNNScorer-c3d66610-42,,Precision,10,0.18358208955223881
MovieLens100K,42,MovieLens100K_seed42-eff9ee63,LensKit.PopScorer-f4aa5539-42,,NDCG,1,0.21321961620469082
MovieLens100K,42,MovieLens100K_seed42-eff9ee63,LensKit.PopScorer-f4aa5539-42,,NDCG,5,0.15885491617624584
MovieLens100K,42,MovieLens100K_seed42-eff9ee63,LensKit.PopScorer-f4aa5539-42,,NDCG,10,0.1385840295574469
MovieLens100K,42,MovieLens100K_seed42-eff9ee63,LensKit.PopScorer-f4aa5539-42,,Precision,1,0.21321961620469082
MovieLens100K,42,MovieLens100K_seed42-eff9ee63,LensKit.PopScorer-f4aa5539-42,,Precision,5,0.14413646055437102
MovieLens100K,42,MovieLens100K_seed42-eff9ee63,LensKit.PopScorer-f4aa5539-42,,Precision,10,0.12217484008528785
